Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
90,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-72/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.44995879134924,0.3086913086913087,38.44703014121832,0.5338150006877882
91,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-73/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.503583285510814,0.33966033966033965,38.501213611380855,0.5156478667343656
92,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-64/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.63846880849123,0.0919080919080919,38.62522144896257,0.499775405044236
93,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-66/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.37222095589622,0.15484515484515485,38.36335034219857,0.49770406019917246
94,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-63/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.35269243825444,0.12787212787212787,38.344843932009695,0.5153970334355797
95,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-13/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.32482538551252,0.1038961038961039,38.3177590451692,0.4945667934664293
96,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-69/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.36523390122192,0.14285714285714285,38.35620534582849,0.4874519971639337
97,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-39/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.63612119960418,0.1028971028971029,38.636794879623515,0.5156580775980899
98,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-44/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.34956016267201,0.1258741258741259,38.348761767856224,0.5292945012289394
99,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-79/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.479593736704906,0.4115884115884116,38.47401604734546,0.4977395749596347
100,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-43/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.39907108063727,0.18981018981018982,38.39140461158197,0.4989092935453705
101,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-40/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.32556481875696,0.11588411588411589,38.315399543830644,0.4969348123197683
102,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-6/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.39943174681148,0.1958041958041958,38.39491644052968,0.5128678589832667
103,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-31/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.29092193285269,0.059940059940059943,38.28702715588452,0.4969471244979893
104,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-56/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.41876702878628,0.2077922077922078,38.41376137517522,0.5107848525956591
105,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-46/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.1772184852324,0.01098901098901099,38.16969298987122,0.5146745613919919
106,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-61/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.42829998983544,0.24075924075924077,38.41922011922233,0.5164026088436664
107,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-32/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.36464352126359,0.13086913086913088,38.35876726511584,0.5225370339772688
108,Baseline: results/rethinking/evaluation_logs/model-save-dir-25/clean.result,results/rethinking/evaluation_logs/model-save-dir-20/clean.result,38.48460672807191,,38.477759935404855,0.4853375039793626,38.33015861763523,0.09490509490509491,38.319539764874996,0.5016646795810438
